smiles,group,LogS
ClC(Cl)(Cl)Cl,training,-2.2880001
O=C1[C@]2(C)[C@](C)(C(=O)O1)C1OC2CC1,training,-3.816
O=C1N(C)C(=O)NC(=O)C1(C)C1=CCCCC1,training,-2.7349999
O=C(O)[C@@H](N)CO,training,0.60699999
O=C(OCC(=O)[C@@H]1[C@]2(C)C(C3C([C@]4(C)C(=CC(=O)CC4)CC3)CC2)CC1)C,training,-4.630000099999998
Cc1c2c3c(cc4c5c(ccc4c3CC2)cccc5)cc1,training,-7.966000099999999
Oc1ccc(/C(=C(\CC)/c2ccc(O)cc2)/CC)cc1,training,-4.3499999
ClC(Cl)C(=O)N[C@@H]([C@H](O)c1ccc([N+](=O)[O-])cc1)CO,training,-2.1110001
OC(CO)CO,training,1.036
O=CC(O)CO,training,-0.48899999
O=C(O)[C@H](N)CC(=O)O,training,-1.395
S(SC[C@H](N)C(=O)O)C[C@H](N)C(=O)O,training,-3.102
O=C(O)CN(C(=N)N)C,training,-0.99400002
S=C=NCC=C,training,-1.6950001
O=C(O)CCCCCCCCCCCCCCC,training,-6.807000200000001
O=C(N)N,training,0.958
ClC(Cl)(Cl)C(O)(C)C,training,-1.346
O=C1N2c3c(cccc3)[C@@]34C2C2C(OCC=C5C2CC3N(C5)CC4)C1,training,-3.3199999
O[C@@H]1[C@@H]2Oc3c(O)ccc4c3[C@@]32[C@H]([C@@H](N(C)CC3)C4)C=C1,training,-3.2820001000000003
O=C(OCC)C1(c2ccccc2)CCN(C)CC1,training,-1.885
O=C1C(CCC(C)C)(CC)C(=O)NC(=O)N1,training,-2.5739999
O=C1C(CC)(CC)C(=O)NC(=O)N1,training,-1.393
O=C([C@H](O)[C@@H](O)[C@@H](O)CO)CO,training,0.63499999
OC(CO)C,training,1.119
O=C1OCC1,training,0.70999998
Clc1c2[C@](O)(C)C3C(C(=O)c2c(O)cc1)=C(O)[C@]1(O)C(=O)C(C(=O)N)=C(O)[C@@H](N(C)C)C1C3,training,-2.881
Oc1cc2c(cc1)C1C(C3[C@@](C)([C@](O)(C#C)CC3)CC1)CC2,training,-4.4190001
O=C(C)[C@@H]1[C@]2(C)C(C3C([C@]4(C)C(=CC(=O)CC4)CC3)CC2)CC1,training,-4.553
O=C(O[C@@H]1[C@]2(C)C(C3C([C@]4(C)C(=CC(=O)CC4)CC3)CC2)CC1)CC,training,-5.3670000999999985
O[C@@H]1CC=2[C@@](C)(C3C(C4[C@@](C)([C@@H]([C@H](CCCC(C)C)C)CC4)CC3)CC=2)CC1,training,-6.610000099999999
O[C@H]1[C@]2(C)C(C3C(c4c(cc(O)cc4)CC3)CC2)CC1,training,-4.8439999
Oc1c(O)ccc2c1-c1c3c(ccc1)CCN(C)C3C2,training,-1.207
O=C1N(C)C(=O)c2n(C)cnc2N1C,training,-0.954
O=C1N(N(C)C(C)=C1N(C)C)c1ccccc1,training,-0.62900001
O=C1C=C2[C@@](C)(C3C(C4[C@@](C)([C@](O)(C)CC4)CC3)CC2)CC1,training,-3.95
O=C1C(C)=CC(=O)c2c1cccc2,training,-3.0320001
O([As]1c2c(Oc3c1cccc3)cccc2)[As]1c2c(Oc3c1cccc3)cccc2,training,-5.0019999
Clc1cc2N(CCCN3CCN(C)CC3)c3c(Sc2cc1)cccc3,training,-4.3969998
Clc1cc2N(CCCN3CCN(CCO)CC3)c3c(Sc2cc1)cccc3,training,-4.1550002
O=C1N=CNc2n(C3C(O)C(O)C(CO)O3)cnc12,training,-1.23
O(C)c1c(OC)ccc(Cc2nccc3c2cc(OC)c(OC)c3)c1,training,-3.987
Clc1c(Cl)c(Cl)cc(Cl)c1O,training,-4.0040002
Clc1c(S(=O)(=O)N)cc2S(=O)(=O)NCNc2c1,training,-2.615
O=C(O)C(NC(=O)c1ccc(NCC=2N=C3C(=O)N=C(N)N=C3NC=2)cc1)CCC(=O)O,training,-5.441
O=C1Nc2c(cccc2)C=C1,training,-2.141
O=C(OCCN(CC)CC)c1ccc(N)cc1,training,-1.398
O(CC(O)CO)c1c(C)cccc1,training,-1.189
S(=O)(=O)(N)c1sc(NC(=O)C)nn1,training,-2.3559999
O=NN1CCOCC1,training,0.935
O=C(O)[C@@H](N)Cc1cc(O)c(O)cc1,training,-1.596
N(=Nc1ccccc1)c1ccc(N)cc1,training,-3.79
O=C(O)[C@@H](N)Cc1ccc(O)cc1,training,-2.5780001
O=C(O)CCCCCN,training,0.58499998
N(N)C,training,1.337
S=P(SCC(=O)NC)(OC)OC,training,-0.99299997
O=C(CCc1ccc(O)cc1)c1c(O)cc(O)cc1O,training,-3.3480000000000003
N(C(CN1c2c(Sc3c1cccc3)cccc2)C)(C)C,training,-4.2610002
C(N1c2c(Sc3c1cccc3)cccc2)C1CN(C)CCC1,training,-4.744999900000002
O(C)c1cc2N(CC(CN(C)C)C)c3c(Sc2cc1)cccc3,training,-4.2150002
O=C(O)c1c(Nc2c(C)c(C)ccc2)cccc1,training,-4.0819998
Nc1n[nH]cn1,training,0.52200001
O=C(O)[C@@H](N)CC(C)C,training,-0.78500003
O=[N+]([O-])c1ccc(C(=O)O)cc1,training,-2.9219999
S=C(N)C,training,0.336
S=C(N)N,training,0.271
O=C(O)C(N)(C)C,training,0.244
O=C(OC1C2(O)OC34C(C)(C2CCC3C2(O)C(O)(C3C(O)(C(O)(C)C5N(CC(C)CC5)C3)C(O)C2)C4)CC1)/C(=C/C)/C,training,-3.016
O=NN(C)C,training,1.13
O=C1[C@]2(C)C(C3C([C@]4(C)C(=CC(=O)CC4)CC3)CC2)CC1,training,-3.6949999
O=C(Oc1c2c(ccc1)cccc2)NC,training,-3.2620001
S(CC[C@H](N)C(=O)O)C,training,-0.421
O=C(OC)C1=CCCN(C)C1,training,0.80900002
O=C(Oc1cc(C(C)C)ccc1)NC,training,-3.3570001000000005
O=CO,training,1.337
O=C(O)C,training,1.221
O=C(N)c1c(O)cccc1,training,-1.823
O=C(O)c1c(O)cc(N)cc1,training,-1.957
O=C1C(C)=CNC(=O)N1,training,-1.5190001
O=C(O)c1ccccc1,training,-1.5549999
O=C1NC(=O)C=CN1,training,-1.493
O=CCCCCC,training,-1.249
n1c2c3ncccc3ccc2ccc1,training,-1.826
O=[N+]([O-])c1oc(/C=N/N2C(=O)NC(=O)C2)cc1,training,-3.4760001000000003
O=[N+]([O-])c1oc(/C=N/N2C(=O)OCC2)cc1,training,-3.75
OC,training,1.494
OC(C)C,training,1.221
O=C(C)C,training,1.2359999
ClC(Cl)(Cl)C(Cl)(Cl)Cl,training,-3.675
FC12C3(C)C(=CC(=O)C=C3)CCC1C1C(C)(C(O)(C(=O)COC(=O)C)C(OC(=O)C)C1)CC2O,training,-4.1300001
O=C1C2(CO)N(C)C(=O)C3(SS2)N1C1C(O)C=CC=C1C3,training,-3.6689999
SCC(=O)O,training,1.036
S(=O)(=O)(Nc1ncccn1)c1ccc(N)cc1,training,-3.5120001000000003
O=C(C)C1(O)C2(C)C(C3C(C4(C)C(=CC(=O)CC4)CC3)CC2)CC1,training,-4.7080002
O[C@@H]([C@H](O)[C@H](O)CO)[C@H](O)CO,training,0.074000001
O=C(O)c1c(O)cccc1,training,-1.79
O=C1NC(=O)c2[nH]cnc2N1,training,-3.3429999
O=C1NC(=O)C=2NC(=O)NC=2N1,training,-3.447
Clc1c(Cc2c(Cl)c(Cl)cc(Cl)c2O)c(O)c(Cl)cc1Cl,training,-3.4630001000000004
O=C(O)[C@@H](N)CC(=O)N,training,-0.653
S(=O)(=O)(N)c1ccc(C)cc1,training,-1.734
O=C(CC)c1ccc(O)cc1,training,-2.6389999
O=C(O)[C@@H](N)Cc1[nH]cnc1,training,-0.53200001
OCCC,training,1.221
OCCCC,training,-0.06899999799999999
OCCCCC,training,-0.60299999
c1ccccc1,training,-1.64
ClC(Cl)(Cl)C,training,-2.0150001
S(=O)(=O)(Nc1sccn1)c1ccc(N)cc1,training,-2.835
O=C(O)[C@@H](N)C(C)C,training,-0.30199999
O=C(O)[C@@H](N)[C@H](O)C,training,-0.089000002
ClC(Cl)(Cl)C(c1ccc(OC)cc1)c1ccc(OC)cc1,training,-6.539
ClC(Cl)C(c1ccc(CC)cc1)c1ccc(CC)cc1,training,-6.4879999
O=C(O)[C@@H](N)Cc1c2c([nH]c1)cccc2,training,-1.183
Nc1ncnc2[nH]cnc12,training,-2.1180000000000003
O=C(O)[C@@H](N)[C@@H](CC)C,training,-0.58099997
Clc1ccc(C(=O)O)cc1,training,-3.3369998999999995
CC,training,-2.6989999
C#C,training,-1.336
ClC,training,-0.977
SC,training,-0.495
BrCBr,training,-1.165
BrCC,training,-1.0829999
BrCCl,training,-0.889
C(#C)C,training,-1.0420001
ClCC,training,-0.98299998
ClC=C,training,-0.85100001
ICC,training,-1.591
N#CC,training,1.3869999999999998
O=CC,training,1.3559999
SCC,training,-0.60000002
ICI,training,-2.507
ON=C,training,0.57700002
S(C)C,training,-0.45100001
C1CC1,training,-2.043
BrC(Br)Br,training,-1.911
BrC(Cl)Cl,training,-1.733
ClC(C)C,training,-1.404
IC(C)C,training,-2.0840001
NC(C)C,training,1.228
ClC(Cl)=C,training,-1.6030000000000002
FC(F)=C,training,-2.579
ClC(Cl)F,training,-0.73799998
ClC(F)F,training,-1.494
CC1OC1,training,1.007
BrC(F)(F)F,training,-2.668
OC(C)(C)C,training,1.13
ClC(Cl)(F)F,training,-2.635
S(=O)(=O)(O)C,training,1.017
[Si](C)(C)(C)C,training,-3.6530001
C(CC)(C)(C)C,training,-3.671
OCC(C)(C)C,training,-0.40099999
ClC(Cl)(Cl)C=O,training,-0.69099998
ClCC(F)(F)F,training,-1.11
BrC(Br)(Br)C(=O)O,training,-0.171
O=C(C(C)(C)C)C,training,-0.722
ClC(Cl)(C(=O)O)C,training,0.54500002
ClC(Cl)(Cl)C(Cl)Cl,training,-2.625
ClC(F)(F)C(=O)O,training,0.884
FC(F)(F)C(=O)O,training,0.94300002
ClC(Cl)(Cl)C(Cl)(F)F,training,-3.309
ClC(Cl)(F)C(Cl)(Cl)F,training,-3.23
ClC(Cl)(F)C(Cl)(F)F,training,-3.0420001
ClC(F)(F)C(Cl)(F)F,training,-3.119
FC(F)(F)C(F)(F)F,training,-4.2490001
FC(F)(F)C(F)(F)C(F)(F)F,training,-4.5180001
S(=O)(=O)(C(S(=O)(=O)CC)(CC)C)CC,training,-1.6849999
O=C1C2(C)C(C)(C)C(C1)CC2,training,-1.978
F[C@]12[C@@H](O)C[C@]3(C)[C@]4(C(=O)CO)OC(C)(C)O[C@@H]4CC3C1CCC=1[C@]2(C)C=CC(=O)C=1,training,-4.316
ClC(Cl)(C(O)O)C(Cl)C,training,-0.86699998
ClC1(Cl)C2(Cl)C(Cl)=C(Cl)C1(Cl)C1C2C(Cl)C=C1,training,-6.316999900000001
O(C)c1c2O[C@H]3[C@@H](O)C=CC4[C@@H]5N(C)CC[C@]34c2c(cc1)C5,training,-1.5219999999999998
O=C1C(C(CCC)C)(CC)C(=O)NC(=O)N1,training,-2.523
O=C1C(C(C)C)(CC)C(=O)NC(=O)N1,training,-2.214
OC(c1ccccc1)(c1ccccc1)c1ccccc1,training,-2.26
O=C(O)C(O)(c1ccccc1)c1ccccc1,training,-2.2090001
O=C1C(C(C)C)(CC=C)C(=O)NC(=O)N1,training,-1.712
O=C1C(CC=C)(CC(C)C)C(=O)NC(=O)N1,training,-2.1199999
S=C1NC(=O)C(C(CCC)C)(CC=C)C(=O)N1,training,-3.7119999
Clc1c(S(=O)(=O)N)cc(C2(O)NC(=O)c3c2cccc3)cc1,training,-3.451
OC(CC)(CC)C,training,-0.38
OC(C#C)(CC)C,training,0.004
S(=O)(=O)(OC)OC,training,-0.65399998
P(=O)(OCC)(N(C)C)C#N,training,-0.219
O=C(O)C(O)(CC(=O)O)CC(=O)O,training,0.48899999
O=[N+](OCC(CO[N+](=O)[O-])(CO[N+](=O)[O-])CO[N+](=O)[O-])[O-],training,-3.8659999
P(=O)(Oc1ccc(C)cc1)(Oc1ccc(C)cc1)Oc1ccc(C)cc1,training,-6.0890002
P(=O)(OCC)(OCC)OCC,training,0.43900001
O=C(OCC(COC(=O)N)(CCC)C)NC(C)C,training,-2.938
P(=O)(OCCCC)(OCCCC)CCCC,training,-2.7
S=P(SCc1nc(N)nc(N)n1)(OC)OC,training,-3.069
O=C1C=C(C)CC(C)(C)C1,training,-1.061
OC(C=C)(CCC=C(C)C)C,training,-1.987
BrC(Br)CBr,training,-2.727
BrC(CBr)C,training,-2.1500001
BrCC(C)C,training,-2.4319999
C(C=C)(=C)C,training,-2.026
NCC(C)C,training,1.136
OCC(C)C,training,0.059
O=CC(C)C,training,0.090999998
ClC(CCl)C,training,-1.6059999
ClC(CCl)=C,training,-1.7130001
O=C(CC)C,training,0.49000001
ClCC(=O)C,training,-0.012
ClC(Cl)CCl,training,-1.4630001
ClC(Cl)=CCl,training,-2.0109999
ClCC(=O)N,training,-0.017000001
O=C(O)CC,training,1.13
O=C(NC)C,training,1.136
S=C(NN)N,training,-0.95999998
O=C(OC)C,training,0.51599997
O(O)C(=O)C,training,1.119
BrC(Br)C(Br)Br,training,-2.707
C(C(C)C)(C)C,training,-3.5829998999999995
O=C(O)C(C)C,training,0.278
ClC(Cl)C(Cl)Cl,training,-1.773
O=C(O)C(=C)C,training,0.014
ClC(Cl)C(=O)O,training,0.88999999
O=[N+]([O-])C(C)C,training,-0.71899998
BrC(Br)(Br)C(=O)C(Br)Br,training,-6.656000099999999
C=C1C(C)(C)C2CC1CC2,training,-4.4720001
Oc1ccc(C(C)(C)c2ccc(O)cc2)cc1,training,-3.279
O(O)C(C)(C)c1ccccc1,training,-1.039
S(=O)(=O)(OC)c1ccccc1,training,-1.742
O(OC(C)(C)c1ccccc1)C(C)(C)c1ccccc1,training,-5.7690001
Oc1ccc(C(CC)(C)C)cc1,training,-2.99
CC1(C)C2C(C)=CCC1C2,training,-4.7379999
O=C(OC)C(=C)C,training,-0.8240000000000001
O=S1(=O)NC(=O)c2c1cccc2,training,-1.661
S(=O)(=O)(O)c1c(/C=C/c2c(S(=O)(=O)O)cc(N)cc2)ccc(N)c1,training,-2.756
S(=O)(=O)(O)c1c(N)ccc2c1cccc2,training,-1.7359999
O=C(O)CC[C@@H](C)C1[C@@]2(C)C(=O)CC3[C@]4(C)C(CC(=O)C3C2CC1)CC(=O)CC4,training,-3.3499999
O=C1c2c(O)c(O)cc(O)c2C(=O)c2c1cccc2,training,-4.6020002
O=C1c2c(O)ccc(O)c2C(=O)c2c1c(O)c(O)cc2,training,-5.0229998
O=C1c2c(O)ccc(O)c2C(=O)c2c1cccc2,training,-6.3979998
Clc1ccc(C(CC(=O)C)C=2C(=O)Oc3c(C=2O)cccc3)cc1,training,-5.836
O=C1c2c(N)c(C)ccc2C(=O)c2c1cccc2,training,-5.8540001
O=C1c2c(NC)cccc2C(=O)c2c1cccc2,training,-6.3000002
O=C1c2c(N)cccc2C(=O)c2c1cccc2,training,-5.8720002
O=[N+]([O-])c1c(O)c([N+](=O)[O-])cc([N+](=O)[O-])c1O,training,-1.6619999
C(N1CCN(C)CC1)(c1ccccc1)c1ccccc1,training,-2.4260001
O=C(C(C)(C)C)C1C(=O)c2c(C1=O)cccc2,training,-4.1069999
c12c3cccc1CCc2ccc3,training,-4.5970001
Cc1c2c([nH]c1)cccc2,training,-2.421
O=C(O)CCC(C)C1C2(C)C(O)CC3C4(C)C(CC(O)CC4)CCC3C2CC1,training,-3.954
O=C(O)CCC(C)C1C2(C)C(C3C(C4(C)C(C(O)C3)CC(O)CC4)CC2)CC1,training,-3.8169999
Oc1c2c(c(O)ccc2)ccc1,training,-2.987
O=C1N(C)c2ncn(C)c2C(=O)N1,training,-2.737
O=C1N=C2N(C[C@H](O)[C@H](O)[C@H](O)CO)c3c(N=C2C(=O)N1)cc(C)c(C)c3,training,-3.648
Clc1cc2N(CCCN3CCN(CCOC(=O)C)CC3)c3c(Sc2cc1)cccc3,training,-4.6989999000000005
O=C1C(=O)c2c(-c3c1cccc3)cccc2,training,-4.4429998
c1(c(-c2ccccc2)cccc1)-c1ccccc1,training,-5.2690001
O=C(OC1CCCCC1)c1c(C(=O)OC2CCCCC2)cccc1,training,-4.9169998
O=C1c2c(C(=O)c3c1cccc3)cccc2,training,-5.1880002
O=C(OCC)c1c(C(=O)OCC)cccc1,training,-2.313
O=C(OCC(C)C)c1c(C(=O)OCC(C)C)cccc1,training,-4.652
O=C(OCCCCCC)c1c(C(=O)OCCCCCC)cccc1,training,-6.8249998
S(=O)(=O)(O)c1c2c(c(N)cc1)cccc2,training,-2.8570001
S(=O)(=O)(O)c1c2c(c(N)ccc2)ccc1,training,-2.349
c12c3c(ccc1cccc2)cccc3,training,-5.1900001
Ic1c(NC(=O)CC)c(I)c(C(=O)O)c(I)c1NC(=O)CC,training,-2.8080001
Clc1[nH]c2C(=O)N(C)C(=O)N(C)c2n1,training,-1.508
Clc1c(CC(=O)O)c(Cl)ccc1Cl,training,-3.0780001
Ic1c(NC(=O)C)c(I)cc(I)c1C(=O)O,training,-2.6389999
O=C1OC(=O)c2c1cccc2,training,-1.378
O=C(O)c1c(C(=O)c2ccc(O)cc2)cccc1,training,-2.5840001
O=NN(c1ccccc1)c1ccccc1,training,-3.753
S=P(SCN1C(=O)c2c(N=N1)cccc2)(OC)OC,training,-4.1810002
O=C(O)c1c2ncccc2ccc1,training,-1.744
S(=O)(=O)(O)c1c2c(ccc(N)c2)ccc1,training,-2.5710001
S(=O)(=O)(O)c1c2c(cc(S(=O)(=O)O)c1)ccc(N)c2,training,-0.51800001
c12-c3c(cccc3)Cc1cccc2,training,-4.993
O=Cc1cc(OC)c(OC)c(OC)c1,training,-2.1199999
O=C(O)Cc1c2c(ccc1)cccc2,training,-2.6470001
S=C(Nc1c2c(ccc1)cccc2)N,training,-2.5280001
O=C1Nc2c(C(O)=C1)cccc2,training,-3.792000100000001
O=C(OC1CC2N(C)C(C1)CC2)C(O)c1ccccc1,training,-1.4400001
O=C(Nc1ccccc1)c1c(O)cccc1,training,-3.5880001000000004
O=C(OCCC(C)C)c1c(O)cccc1,training,-3.1570001
O=C(OCCO)c1c(O)cccc1,training,-1.1569999
O=[N+](OC1C2OCC(O[N+](=O)[O-])C2OC1)[O-],training,-2.6329999
Clc1c(OC)c(Cl)cc(Cl)c1,training,-4.3249998
Clc1[nH]cnc-2ncnc1-2,training,-1.49
O=C(O)Cc1c2c([nH]c1)cccc2,training,-2.0669999
Nc1c(C)cccc1C,training,-1.168
Brc1c(Br)c(Br)c(Br)c(Br)c1Br,training,-9.5369997
Cc1c(C)c(C)c(C)c(C)c1C,training,-5.8390002
Clc1c(Cl)c(Cl)c(O)c(Cl)c1Cl,training,-4.2789998
Clc1c(C)cc(O)cc1C,training,-2.7969999
Clc1c(O)c(Cl)cc(Cl)c1,training,-2.392
O=C(O)C(CC)CC,training,-0.81
O=C(O)c1cscc1,training,-1.474
O=C(C)c1sccc1,training,-0.95499998
Oc1c(C(C)(C)C)cccc1,training,-2.332
S(=O)(=O)(N)c1c(C)cccc1,training,-2.0239999
FC(F)(F)c1c([N+](=O)[O-])ccc(O)c1,training,-1.617
S(=O)(=O)(O)c1c(N)cc(C)cc1,training,-2.1259999
Brc1c(C(=O)O)cccc1,training,-2.0339999
Ic1c(C(=O)O)cccc1,training,-2.7309999
O=[N+]([O-])c1c(C)cccc1,training,-2.3239999
O=[N+]([O-])c1c(O)cccc1,training,-1.745
O=[N+]([O-])c1c(O)c(C(CC)C)cc([N+](=O)[O-])c1,training,-3.665
Clc1c([N+](=O)[O-])cc([N+](=O)[O-])cc1[N+](=O)[O-],training,-2.6689999
O=[N+]([O-])c1c(O)c([N+](=O)[O-])cc([N+](=O)[O-])c1,training,-1.256
O=C(O)c1c(C(=O)O)cccc1,training,-1.3769999999999998
O=C(O)c1c(C(=O)O)cccn1,training,-1.182
O=C(O)c1c(C(=O)O)cc(C(=O)O)c(C(=O)O)c1,training,-1.2589999
O=C(O)Cc1c(C(=O)O)cccc1,training,-1.052
Clc1cc([N+](=O)[O-])c(N)cc1,training,-2.5380001
Clc1cc([N+](=O)[O-])c(O)cc1,training,-3.0899999
O=C1C(O)=C(O)[C@@H]([C@H](O)CO)O1,training,0.35600001
Clc1c(C)cc(O)c(C(C)C)c1,training,-2.266
O=C(O)c1c(O)cc(O)cc1,training,-1.426
OCc1c(O)cccc1,training,-0.29499999
O(C)c1c(N)cccc1,training,-0.99000001
O(C)c1c(O)cccc1,training,-0.82200003
Cc1c2c(ccc1)cccc2,training,-3.7409999
Clc1c2c(ccc1)cccc2,training,-3.971
Ic1c2c(ccc1)cccc2,training,-4.533
Oc1c2c(ccc1)cccc2,training,-2.221
Oc1c(-c2ccccc2)cccc1,training,-2.3859999
O=C(/C(/OC)=C/C(=O)O)C(=C)C,training,-0.93000001
O=C1[C@H](O)[C@@H](O)[C@H](O)[C@@H](CO)O1,training,0.51999998
O=C(c1ccc(N(C)C)cc1)c1ccc(N(C)C)cc1,training,-2.8269999
N#Cc1c(C#N)cccc1,training,-2.5109999
C12C(CCCC1)CCCC2,training,-5.191999900000001
n1c2c(ncc1)cccc2,training,0.70499998
c12c(cccc1)cccc2,training,-3.6159999
O=[N+]([O-])c1c(OC)cccc1,training,-1.957
Nc1cc2c(cc1)cccc2,training,-2.8789999
O=C1Oc2c(cccc2)C=C1,training,-1.886
N(CC)(CC)c1ccccc1,training,-3.0280001
N(CCN(Cc1sccc1)c1ncccc1)(C)C,training,-2.638
N(CCN(Cc1ccccc1)c1ncccc1)(C)C,training,-2.6389999
Clc1c(N)ccc(-c2cc(Cl)c(N)cc2)c1,training,-4.9120002000000005
c1(-c2ccccc2)cc(-c2ccccc2)ccc1,training,-5.183000099999999
Oc1c(O)cc2c(c1)cccc2,training,-2.7379999
OCCN(CC)c1ccccc1,training,-1.9170001
Brc1ccc(-c2ccccc2)cc1,training,-5.553
Oc1ccc(-c2ccccc2)cc1,training,-3.4809999
O=C(C)c1ccc(-c2ccccc2)cc1,training,-3.3110001
O=[N+]([O-])c1ccc(-c2ccccc2)cc1,training,-5.2090001
S(=O)(=O)(O)c1cc2c(cc(N)cc2)cc1,training,-3.27
O=Cc1c(OC)ccc(OC)c1,training,-2.3199999
O=C(O)c1cc2c(cc1)cccc2,training,-3.5639999
O=C(O)c1nc2c(cc1)cccc2,training,-1.092
O(CC(O)CO)c1c(OC)cccc1,training,-0.59799999
O(C)c1c(OC)ccc(CC=C)c1,training,-2.552
O=C(OC)c1ccccc1,training,-1.812
O=C(OC)c1cnccc1,training,-0.46000001
Clc1c(Cl)cc(OCC(=O)O)c(Cl)c1,training,-2.9630001
Clc1c(Cl)cc(OCCCC(=O)O)c(Cl)c1,training,-3.829
O=C(OCC)c1ccccc1,training,-2.319
O=C(CC(=O)c1ccccc1)C,training,-2.6270001
O=C(OC(=O)c1ccccc1)c1ccccc1,training,-4.355
O=C(OCC)c1ccc(N)cc1,training,-2.1010001
O=C(OCCCC)c1ccc(N)cc1,training,-2.7609999
O=C(OCCCC)c1ccc(O)cc1,training,-2.9719999
O(OC(=O)c1ccccc1)C(=O)c1ccccc1,training,-4.4250002
O=C(/C=C/C=C/c1cc2OCOc2cc1)N1CCCCC1,training,-3.8529999
Clc1c(OCC(=O)O)ccc(Cl)c1,training,-2.5139999
Clc1c(OCC(=O)OCCCC)ccc(Cl)c1,training,-3.78
Clc1cc(C)c(OCCCC(=O)O)cc1,training,-3.678
Clc1c(OCCCC(=O)O)ccc(Cl)c1,training,-3.734
ClC(CSC(=S)N(CC)CC)=C,training,-3.3499999
O=C(OCCOCCOCCOC(=O)C(CC)CC)C(CC)CC,training,-3.2390001
[nH]1nnc2c1cccc2,training,-0.77899998
s1c2c(cc1)cccc2,training,-3.0139999
Cc1c(C)cccc1,training,-2.776
Oc1c(C)cccc1,training,-0.62099999
Clc1c(C)cccc1,training,-2.53
Nc1c(C)cccc1,training,-0.81
Cc1c(C)ccc(C)c1,training,-3.3239999
Nc1cc(C)c(C)cc1,training,-1.5039999
Clc1c(Cl)ccc(C)c1,training,-3.792000100000001
